code_id,relative_path,filename,extension,bytes,sha2_256,language,role_family,gates_crosswalk,purpose,header_or_docstring,bingo_column,researchbox_id,aspredicted_id,p3_run_id,zip_member_path,upload_note
P3-CODE-022,scripts/p3/gate_i_tl0.sh,gate_i_tl0.sh,.sh,2850,sha2-256:d03b59bbc7b84116073da8f6220ab220b7c5d64762c1808581f447b39cff0da5,bash,gateI,I,TL0 d8+d20 parent training,P3 Gate I: TL0 confirmatory train (d8 and/or d20) on Tagalog p3-tl39-active only.,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_i_tl0.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-023,scripts/p3/gate_p0t.sh,gate_p0t.sh,.sh,1509,sha2-256:6790118f772ab6d5a85eaf61179916203dec1b9282e167b495d92db2d8052ffb,bash,gateP0T,P0-T,P0-T eligibility floors before English,P3 Gate P0-T: Tagalog parent eligibility (TL0 d8 + d20 vs untrained + byte-unigram).,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_p0t.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-024,scripts/p3/gate_p0t_accept.py,gate_p0t_accept.py,.py,5500,sha2-256:89f8a37baa61b4557705c00cb9d360e7bd7a78bb40c9a99e611fe4b13b38dc03,python,gateP0T,P0-T,P0-T eligibility floors before English,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_p0t_accept.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-025,scripts/p3/gate_p0t_preflight.py,gate_p0t_preflight.py,.py,5700,sha2-256:025e0a5f740d47a4145eef6612fead71ef83638f07900489452c68e2c15e0617,python,gateP0T,P0-T,P0-T eligibility floors before English,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_p0t_preflight.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-026,scripts/p3/gate_phase2_accept.py,gate_phase2_accept.py,.py,4598,sha2-256:1037b994b649a34745c879314089d9f4cc72e716314c6169ac5897fe98572ec1,python,gateRST,R–T,Accept helper for phase-2 arms,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_phase2_accept.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-027,scripts/p3/gate_q_b0_freeze.py,gate_q_b0_freeze.py,.py,3182,sha2-256:6713d313a80c12cc90b0701bfa2b75611f0c33fc0700d096e3d3725fa799f724,python,gateQ,Q,B0 freeze (= TL0 d20),,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_q_b0_freeze.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-028,scripts/p3/gate_q_to_w.sh,gate_q_to_w.sh,.sh,1002,sha2-256:4b73a30881a77e70e2e3653e0f9d96771e2d57e78ae2d54db7c97caa421190c7,bash,gateQ,Q,B0 freeze (= TL0 d20),P3 Gates Q→W orchestrator (CUDA pod). Blinding: train/U/V logs → lockbox.,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_q_to_w.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-029,scripts/p3/gate_r_b1.sh,gate_r_b1.sh,.sh,1411,sha2-256:3b02a4944979cf83f1e7c48b201038296a479a4e55f31b49e487e047cfde74a3,bash,gateR,R,B1 extra Tagalog,P3 Gate R: B1 extra-Tagalog from frozen B0.,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_r_b1.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-030,scripts/p3/gate_resume_s_to_w.sh,gate_resume_s_to_w.sh,.sh,1259,sha2-256:67b655ad9924e37c9389815cf3b1e62907f461805430bad862e53a6f612c775d,bash,gateR,R,B1 extra Tagalog,Resume P3 Gates S→W after EN/B3 staging sync.,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_resume_s_to_w.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-031,scripts/p3/gate_s_b2.sh,gate_s_b2.sh,.sh,1403,sha2-256:8bec0803cc4670cd48479a21e53f2c5cd76720423a68d2cab03bce5bf2423937,bash,gateS,S,B2 English continuation,P3 Gate S: B2 English intervention from frozen B0.,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_s_b2.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-032,scripts/p3/gate_t_b3.sh,gate_t_b3.sh,.sh,1393,sha2-256:e739b091136b88c77aef10b8ffa776f7f594983a6c5e280c763c723fe2007685,bash,gateT,T,B3 mix continuation,P3 Gate T: B3 frozen 50/50 mix from frozen B0.,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_t_b3.sh,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-033,scripts/p3/gate_u_seal.py,gate_u_seal.py,.py,5807,sha2-256:0e48c9e7cd2b566a15b0cedbe7d59499786b11bde5ab2d2f18625eea1e9d10b3,python,gateU,U,Validation seal (six cells + B0 EN descriptive),,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_u_seal.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-034,scripts/p3/gate_v_test.py,gate_v_test.py,.py,5940,sha2-256:5158b102683516068ec6475037b05451f6fca3fb406c7f0a81774fc6849cdbc2,python,gateV,V,B2-only secondary legacy holdouts,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_v_test.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-035,scripts/p3/gate_w_closeout.py,gate_w_closeout.py,.py,1958,sha2-256:bb7ad153a13ce8790ce39a948740e9e741d67551093734ad84592157d0dfb82b,python,gateW,W,Closeout manifest (no new science),,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_w_closeout.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-036,scripts/p3/gate_x_preflight.py,gate_x_preflight.py,.py,16066,sha2-256:223ba5545060cf6e8f029dd3cd5ba9758494b883ee6f5e5dc776befa5e6d4406,python,gateX,X,Preflight + formal unblinding release,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_x_preflight.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-037,scripts/p3/gate_x_unblind.py,gate_x_unblind.py,.py,7802,sha2-256:aef71ef75ce61fdd03ae3164d43cd7d5c4bec2754e92056f4b45ed0edf3f93d7,python,gateX,X,Preflight + formal unblinding release,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/gate_x_unblind.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-038,scripts/p3/make_validation_seal.py,make_validation_seal.py,.py,2702,sha2-256:7fdde37fb14992b48f89b903f5e4a80f4054238113772b88546ec9647a01b165,python,seal,U,Build sealed validation bundle,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/make_validation_seal.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-039,scripts/p3/p3_common.py,p3_common.py,.py,3744,sha2-256:95d13730364b4c34197270783705994fb428ca7b26c9cdaca4397182bf9dbf11,python,lib,0–X,"Shared P3 helpers (paths, hashes, LOCK)",Shared P3 constants. No outcomes.,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/p3_common.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-040,scripts/p3/phase2_common.py,phase2_common.py,.py,871,sha2-256:65e59a911cce42f47a26bd95ea7ea58ba875160e1960d36c33bc1986a3653a88,python,lib,Q–T,Shared phase-2 continuation helpers,P3 phase-2 (B1/B2/B3) shared constants.,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/phase2_common.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
P3-CODE-041,scripts/p3/release_bundle.py,release_bundle.py,.py,1360,sha2-256:533bc1c58639d54f7d3be92cbbe8e1fb8e9ee2157a87a7a9385cad1fa1a770fa,python,release,X,Release helper for Gate X package,,Code,8834,307342,p3-20260819T192700Z-92d63d4,scripts_p3/release_bundle.py,Row crosswalks Code.zip member ↔ gate ↔ purpose ↔ file digest
